"specimen","group","cranial base area","forehead height","glavellar protrusion","malar flattening","mandibular fossa size","facial protrusion","calvarial curevature"
"Jebel Irhoud 1","AMHs",NA,0.664145446,-0.001748555,-1.41857647012359,215.366739075466,NA,1.713104989
"Jebel Irhoud 2","AMHs",45290.11075602,2.515214878,NA,NA,NA,NA,2.075685521
"Jebel Irhoud Dentition and Mandible","AMHs",NA,NA,NA,NA,NA,NA,NA
"Florisbad","AMHs",NA,1.82074756,NA,-0.117754806668885,NA,NA,2.029054717
"Omo II","AMHs",NA,2.347440854,NA,NA,185.422950035857,NA,2.158988693
"LH 18","AMHs",NA,2.254844013,-0.004373992,NA,196.436357234983,NA,2.244372666
"Skhul V","AMHs",38660.910433974,2.455056147,NA,-0.896095338657836,160.041103607011,-1.094893486,2.533199053
"Skhul IX","AMHs",NA,2.213931492,NA,NA,NA,NA,2.066625526
"Qafzeh IX","AMHs",NA,2.388505522,NA,NA,137.702235275975,NA,2.314159332
"Qafzeh 5 6 7 11 15 27","AMHs",NA,NA,NA,NA,NA,NA,NA
"Mladec I","AMHs",42026.0274048667,2.399663164,0.009616154,-1.41339103196378,152.106680141768,0.530369619,2.329556516
"Mladec Ii","AMHs",NA,2.691592451,-0.000926202,NA,145.54915052569,NA,2.477875789
"Mladec V","AMHs",NA,2.322854952,-0.002993787,NA,216.955280170246,NA,2.162836076
"Mladec Vi","AMHs",NA,2.760681727,0.005080288,NA,NA,NA,2.423578558
"Cro-Magnon I","AMHs",40520.4505415604,2.548464795,NA,0.703184953503792,211.38741684405,0.738324975,2.496753919
"Cro-Magnon Ii","AMHs",NA,2.232503981,0.003781006,NA,NA,NA,2.275560263
"Cro-Magnon Iii","AMHs",NA,3.079579563,0.003371585,NA,NA,NA,2.6248562
"Oase","AMHs",NA,2.021501201,NA,NA,154.130931009159,NA,2.378242817
"Zhoukouodian UP 101","AMHs",48784.158689416,2.124099855,-0.002543865,0.279510106630902,185.052832574241,1.646758456,2.250706653
